task: baseline
n_epoch: 500
train_patch_size: 512
lr: 0.0002
bs: 1
n_crop_per_img: 8
train_dgain_range: [10, 200]
save_freq: 100
clean_img_dir: /data/feiran/datasets/sid_sony/Sony/long
benchmark_dir: /data2/feiran/datasets/dev_phase_release
n_worker: 16
seed: 0





epoch: 102, train loss: 7.3388e-03, train psnr: 40.40
epoch: 103, train loss: 7.3385e-03, train psnr: 40.24
epoch: 104, train loss: 7.4469e-03, train psnr: 40.25
epoch: 105, train loss: 7.2411e-03, train psnr: 40.49
epoch: 106, train loss: 7.5106e-03, train psnr: 40.17
epoch: 107, train loss: 7.3837e-03, train psnr: 40.52
epoch: 108, train loss: 7.5338e-03, train psnr: 40.17
epoch: 109, train loss: 7.4277e-03, train psnr: 40.16
epoch: 110, train loss: 7.1351e-03, train psnr: 40.60
epoch: 111, train loss: 7.5290e-03, train psnr: 40.28
epoch: 112, train loss: 7.3313e-03, train psnr: 40.52
epoch: 113, train loss: 7.2157e-03, train psnr: 40.49
epoch: 114, train loss: 7.2820e-03, train psnr: 40.48
epoch: 115, train loss: 7.3900e-03, train psnr: 40.34
epoch: 116, train loss: 7.3670e-03, train psnr: 40.36
epoch: 117, train loss: 6.9268e-03, train psnr: 40.82
epoch: 118, train loss: 7.2419e-03, train psnr: 40.57
epoch: 119, train loss: 7.2464e-03, train psnr: 40.53
epoch: 120, train loss: 7.3160e-03, train psnr: 40.50
epoch: 121, train loss: 7.2646e-03, train psnr: 40.53
epoch: 122, train loss: 7.1344e-03, train psnr: 40.61
epoch: 123, train loss: 7.0438e-03, train psnr: 40.65
epoch: 124, train loss: 7.2319e-03, train psnr: 40.67
epoch: 125, train loss: 6.9961e-03, train psnr: 40.86
epoch: 126, train loss: 7.0398e-03, train psnr: 40.64
epoch: 127, train loss: 7.0334e-03, train psnr: 40.68
epoch: 128, train loss: 7.2247e-03, train psnr: 40.73
epoch: 129, train loss: 7.0873e-03, train psnr: 40.51
epoch: 130, train loss: 7.1995e-03, train psnr: 40.73
epoch: 131, train loss: 7.2645e-03, train psnr: 40.54
epoch: 132, train loss: 7.3505e-03, train psnr: 40.44
epoch: 133, train loss: 7.1320e-03, train psnr: 40.72
epoch: 134, train loss: 7.2624e-03, train psnr: 40.59
epoch: 135, train loss: 7.2879e-03, train psnr: 40.54
epoch: 136, train loss: 6.9325e-03, train psnr: 40.93
epoch: 137, train loss: 7.0251e-03, train psnr: 40.87
epoch: 138, train loss: 7.5186e-03, train psnr: 40.53
epoch: 139, train loss: 7.1468e-03, train psnr: 40.66
epoch: 140, train loss: 7.0217e-03, train psnr: 40.83
epoch: 141, train loss: 7.1131e-03, train psnr: 40.65
epoch: 142, train loss: 6.9643e-03, train psnr: 40.92
epoch: 143, train loss: 7.1335e-03, train psnr: 40.80
epoch: 144, train loss: 7.0042e-03, train psnr: 40.76
epoch: 145, train loss: 7.0425e-03, train psnr: 40.78
epoch: 146, train loss: 7.3896e-03, train psnr: 40.55
epoch: 147, train loss: 6.9495e-03, train psnr: 40.84
epoch: 148, train loss: 6.7828e-03, train psnr: 40.99
epoch: 149, train loss: 6.9899e-03, train psnr: 40.89
epoch: 150, train loss: 7.3399e-03, train psnr: 40.45
epoch: 151, train loss: 6.7485e-03, train psnr: 41.08
epoch: 152, train loss: 7.0835e-03, train psnr: 40.89
epoch: 153, train loss: 7.0796e-03, train psnr: 40.75
epoch: 154, train loss: 6.9664e-03, train psnr: 40.76
epoch: 155, train loss: 7.3025e-03, train psnr: 40.66
epoch: 156, train loss: 6.9197e-03, train psnr: 40.91
epoch: 157, train loss: 7.0013e-03, train psnr: 40.86
epoch: 158, train loss: 6.9906e-03, train psnr: 40.87
epoch: 159, train loss: 6.9620e-03, train psnr: 40.86
epoch: 160, train loss: 6.8572e-03, train psnr: 40.97
epoch: 161, train loss: 6.8402e-03, train psnr: 41.07
epoch: 162, train loss: 6.9128e-03, train psnr: 41.00
epoch: 163, train loss: 7.0489e-03, train psnr: 40.82
epoch: 164, train loss: 7.0699e-03, train psnr: 40.72
epoch: 165, train loss: 7.2511e-03, train psnr: 40.59
epoch: 166, train loss: 6.7711e-03, train psnr: 41.00
epoch: 167, train loss: 6.9283e-03, train psnr: 40.90
epoch: 168, train loss: 7.1324e-03, train psnr: 40.86
epoch: 169, train loss: 6.8997e-03, train psnr: 40.99
epoch: 170, train loss: 6.7617e-03, train psnr: 41.09
epoch: 171, train loss: 6.9784e-03, train psnr: 40.89
epoch: 172, train loss: 6.9303e-03, train psnr: 40.94
epoch: 173, train loss: 6.8122e-03, train psnr: 41.09
epoch: 174, train loss: 6.4392e-03, train psnr: 41.46
epoch: 175, train loss: 6.6299e-03, train psnr: 41.24
epoch: 176, train loss: 6.7623e-03, train psnr: 41.10
epoch: 177, train loss: 7.0631e-03, train psnr: 40.81
epoch: 178, train loss: 6.9614e-03, train psnr: 41.05
epoch: 179, train loss: 6.8439e-03, train psnr: 41.18
epoch: 180, train loss: 7.0015e-03, train psnr: 40.90
epoch: 181, train loss: 7.0747e-03, train psnr: 40.80
epoch: 182, train loss: 6.7834e-03, train psnr: 40.97
epoch: 183, train loss: 7.1859e-03, train psnr: 40.61
epoch: 184, train loss: 6.7496e-03, train psnr: 41.13
epoch: 185, train loss: 6.9019e-03, train psnr: 40.93
epoch: 186, train loss: 6.9447e-03, train psnr: 40.91
epoch: 187, train loss: 6.7878e-03, train psnr: 41.18
epoch: 188, train loss: 6.5864e-03, train psnr: 41.35
epoch: 189, train loss: 6.5975e-03, train psnr: 41.32
epoch: 190, train loss: 6.9253e-03, train psnr: 40.97
epoch: 191, train loss: 6.7337e-03, train psnr: 41.26
epoch: 192, train loss: 6.7048e-03, train psnr: 41.25
epoch: 193, train loss: 6.5415e-03, train psnr: 41.34
epoch: 194, train loss: 7.0711e-03, train psnr: 40.87
epoch: 195, train loss: 7.0405e-03, train psnr: 40.97
epoch: 196, train loss: 6.8427e-03, train psnr: 41.03
epoch: 197, train loss: 6.9429e-03, train psnr: 40.83
epoch: 198, train loss: 6.8216e-03, train psnr: 41.04
epoch: 199, train loss: 6.6892e-03, train psnr: 41.31
epoch: 200, train loss: 6.7056e-03, train psnr: 41.23
epoch: 201, train loss: 6.8530e-03, train psnr: 41.01
epoch: 202, train loss: 6.7064e-03, train psnr: 41.26
epoch: 203, train loss: 6.7286e-03, train psnr: 41.23
epoch: 204, train loss: 6.6377e-03, train psnr: 41.36
epoch: 205, train loss: 7.0663e-03, train psnr: 40.73
epoch: 206, train loss: 6.6438e-03, train psnr: 41.30
epoch: 207, train loss: 6.8918e-03, train psnr: 41.07
epoch: 208, train loss: 6.6778e-03, train psnr: 41.27
epoch: 209, train loss: 6.6692e-03, train psnr: 41.27
epoch: 210, train loss: 6.7902e-03, train psnr: 41.22
epoch: 211, train loss: 6.7738e-03, train psnr: 41.14
epoch: 212, train loss: 6.6992e-03, train psnr: 41.23
epoch: 213, train loss: 6.6721e-03, train psnr: 41.12
epoch: 214, train loss: 6.5085e-03, train psnr: 41.35
epoch: 215, train loss: 6.5931e-03, train psnr: 41.28
epoch: 216, train loss: 6.8743e-03, train psnr: 40.89
epoch: 217, train loss: 6.6126e-03, train psnr: 41.28
epoch: 218, train loss: 6.6934e-03, train psnr: 41.32
epoch: 219, train loss: 6.7736e-03, train psnr: 41.09
epoch: 220, train loss: 6.7858e-03, train psnr: 41.15
epoch: 221, train loss: 6.4783e-03, train psnr: 41.48
epoch: 222, train loss: 6.7115e-03, train psnr: 41.09
epoch: 223, train loss: 6.8581e-03, train psnr: 41.04
epoch: 224, train loss: 6.7894e-03, train psnr: 41.24
epoch: 225, train loss: 6.9040e-03, train psnr: 41.07
epoch: 226, train loss: 6.7433e-03, train psnr: 41.16
epoch: 227, train loss: 6.7523e-03, train psnr: 41.07
epoch: 228, train loss: 6.6568e-03, train psnr: 41.39
epoch: 229, train loss: 6.7158e-03, train psnr: 41.34
epoch: 230, train loss: 6.5731e-03, train psnr: 41.29
epoch: 231, train loss: 6.7147e-03, train psnr: 41.35
epoch: 232, train loss: 6.7735e-03, train psnr: 41.18
epoch: 233, train loss: 6.5264e-03, train psnr: 41.51
epoch: 234, train loss: 6.7943e-03, train psnr: 41.17
epoch: 235, train loss: 6.6704e-03, train psnr: 41.26
epoch: 236, train loss: 6.6045e-03, train psnr: 41.39
epoch: 237, train loss: 6.5275e-03, train psnr: 41.54
epoch: 238, train loss: 6.5674e-03, train psnr: 41.37
epoch: 239, train loss: 6.4027e-03, train psnr: 41.62
epoch: 240, train loss: 6.5380e-03, train psnr: 41.50
epoch: 241, train loss: 6.6107e-03, train psnr: 41.37
epoch: 242, train loss: 6.5106e-03, train psnr: 41.45
epoch: 243, train loss: 6.4932e-03, train psnr: 41.51
epoch: 244, train loss: 6.6638e-03, train psnr: 41.25
epoch: 245, train loss: 6.4878e-03, train psnr: 41.47
epoch: 246, train loss: 6.5526e-03, train psnr: 41.40
epoch: 247, train loss: 6.6819e-03, train psnr: 41.39
epoch: 248, train loss: 6.5726e-03, train psnr: 41.49
epoch: 249, train loss: 6.5696e-03, train psnr: 41.38
epoch: 250, train loss: 6.6218e-03, train psnr: 41.36
epoch: 251, train loss: 6.6844e-03, train psnr: 41.34
epoch: 252, train loss: 6.4008e-03, train psnr: 41.60
epoch: 253, train loss: 6.8094e-03, train psnr: 41.12
epoch: 254, train loss: 6.5884e-03, train psnr: 41.40
epoch: 255, train loss: 6.8639e-03, train psnr: 41.16
epoch: 256, train loss: 6.4541e-03, train psnr: 41.54
epoch: 257, train loss: 6.4634e-03, train psnr: 41.51
epoch: 258, train loss: 6.5408e-03, train psnr: 41.41
epoch: 259, train loss: 6.5157e-03, train psnr: 41.53
epoch: 260, train loss: 6.4551e-03, train psnr: 41.57
epoch: 261, train loss: 6.6221e-03, train psnr: 41.37
epoch: 262, train loss: 6.6829e-03, train psnr: 41.39
epoch: 263, train loss: 6.5107e-03, train psnr: 41.51
epoch: 264, train loss: 6.4921e-03, train psnr: 41.49
epoch: 265, train loss: 6.6055e-03, train psnr: 41.47
epoch: 266, train loss: 6.3007e-03, train psnr: 41.67
epoch: 267, train loss: 6.5682e-03, train psnr: 41.39
epoch: 268, train loss: 6.3612e-03, train psnr: 41.68
epoch: 269, train loss: 6.7283e-03, train psnr: 41.23
epoch: 270, train loss: 6.4023e-03, train psnr: 41.56
epoch: 271, train loss: 6.4544e-03, train psnr: 41.59
epoch: 272, train loss: 6.5330e-03, train psnr: 41.40
epoch: 273, train loss: 6.4439e-03, train psnr: 41.61
epoch: 274, train loss: 6.4104e-03, train psnr: 41.53
epoch: 275, train loss: 6.3034e-03, train psnr: 41.72
epoch: 276, train loss: 6.7177e-03, train psnr: 41.17
epoch: 277, train loss: 6.6319e-03, train psnr: 41.38
epoch: 278, train loss: 6.5370e-03, train psnr: 41.52
epoch: 279, train loss: 6.4387e-03, train psnr: 41.61
epoch: 280, train loss: 6.3798e-03, train psnr: 41.77
epoch: 281, train loss: 6.5641e-03, train psnr: 41.55
epoch: 282, train loss: 6.7129e-03, train psnr: 41.18
epoch: 283, train loss: 6.8422e-03, train psnr: 41.08
epoch: 284, train loss: 6.5660e-03, train psnr: 41.46
epoch: 285, train loss: 6.5377e-03, train psnr: 41.49
epoch: 286, train loss: 6.3673e-03, train psnr: 41.60
epoch: 287, train loss: 6.6149e-03, train psnr: 41.35
epoch: 288, train loss: 6.4133e-03, train psnr: 41.48
epoch: 289, train loss: 6.4746e-03, train psnr: 41.71
epoch: 290, train loss: 6.3339e-03, train psnr: 41.54
epoch: 291, train loss: 6.4376e-03, train psnr: 41.57
epoch: 292, train loss: 6.2605e-03, train psnr: 41.72
epoch: 293, train loss: 6.3275e-03, train psnr: 41.66
epoch: 294, train loss: 6.3122e-03, train psnr: 41.66
epoch: 295, train loss: 6.4257e-03, train psnr: 41.53
epoch: 296, train loss: 6.5713e-03, train psnr: 41.60
epoch: 297, train loss: 6.1762e-03, train psnr: 41.89
epoch: 298, train loss: 6.5564e-03, train psnr: 41.48
epoch: 299, train loss: 6.4620e-03, train psnr: 41.57
epoch: 300, train loss: 6.2393e-03, train psnr: 41.74
epoch: 301, train loss: 6.4151e-03, train psnr: 41.66
epoch: 302, train loss: 6.2883e-03, train psnr: 41.74
epoch: 303, train loss: 6.2004e-03, train psnr: 41.84
epoch: 304, train loss: 6.3136e-03, train psnr: 41.69
epoch: 305, train loss: 6.5541e-03, train psnr: 41.45
epoch: 306, train loss: 6.3269e-03, train psnr: 41.72
